	logFC	logCPM	PValue	FDR
Ppm1k	-0.208529692	5.298904503	0.091302032	0.612059586
Otud4	-0.228935195	7.523867899	0.091407739	0.612059586
Selplg	0.206212687	8.692093072	0.091466984	0.612059586
Taf10	0.289617959	6.904386993	0.091476119	0.612059586
Nup93	-0.190505408	5.98029111	0.091568913	0.612059586
Rbck1	0.222433871	7.609027392	0.091592861	0.612059586
Myadm	-0.405116646	0.677539257	0.091632559	0.612059586
Tbc1d22a	0.188713601	5.514252622	0.091859964	0.612059586
Dnase1l3	0.342761349	4.006868752	0.091965195	0.612059586
Cenpj	-0.253180327	4.644552875	0.09206048	0.612059586
Ankrd28	-0.201596639	5.401534169	0.092062158	0.612059586
Paxbp1	-0.188218552	6.508865419	0.092126569	0.612059586
Ap1s3	-0.252959657	5.987360294	0.092183476	0.612059586
Rita1	0.355240371	1.765076123	0.092223652	0.612059586
Nfkbib	0.255698438	5.42063297	0.092233173	0.612059586
Ccl3	0.37479903	3.91386734	0.092261549	0.612059586
Pglyrp1	0.198900259	5.645826098	0.092303031	0.612059586
Mrpl4	0.289305125	5.80216402	0.092322501	0.612059586
Dynll1	0.199229967	7.201625648	0.092386402	0.612059586
Ptpn4	-0.295693607	4.095223485	0.092407337	0.612059586
Cd28	-0.204167262	9.755673996	0.092458951	0.612059586
Eif3d	0.191292869	7.754560847	0.092530177	0.612059586
Ctsw	-0.271054459	4.61517081	0.09254412	0.612059586
Nf1	-0.227891964	4.22277183	0.092647148	0.612059586
Arl5a	-0.22709998	7.547678743	0.092734014	0.612059586
Zfp780b	-0.243321205	4.424722241	0.092744335	0.612059586
Ccdc71	0.230851198	5.748348832	0.092755643	0.612059586
Slc16a3	0.237975027	3.726504537	0.092784015	0.612059586
Mfge8	0.23926827	3.653953978	0.092786276	0.612059586
U2surp	-0.237283548	7.280829682	0.092844621	0.612059586
Fam13b	-0.223475296	6.299532568	0.092915643	0.612059586
Rab8b	-0.21747653	8.138960764	0.092939995	0.612059586
Gpr18	0.232690487	6.257592698	0.092971	0.612059586
Aacs	0.235166981	5.116295935	0.092972203	0.612059586
Plekho1	0.209808903	6.467109639	0.092976395	0.612059586
Zfp790	-0.207165125	4.724375063	0.093092815	0.612136124
Pten	-0.2082562	7.65343737	0.09319944	0.612136124
Echdc1	-0.239634377	4.639811688	0.093265274	0.612136124
Elk3	-0.1657933	6.603053051	0.093377634	0.612136124
Phf19	-0.22217766	4.29205661	0.093436916	0.612136124
H13	0.194082713	7.350374915	0.093439815	0.612136124
Dclre1c	-0.189731224	5.68670391	0.093441556	0.612136124
Rinl	0.197057123	9.112610519	0.09346827	0.612136124
Gen1	-0.316990373	3.888792364	0.093827497	0.613560634
Nek1	-0.266684655	3.895603972	0.093935618	0.613560634
Mrpl12	0.234352012	5.306322794	0.093947664	0.613560634
Ube3a	-0.281412871	6.462097315	0.093972504	0.613560634
Arap1	0.190184938	6.940651557	0.093986634	0.613560634
Rfwd3	-0.206274247	7.338743033	0.094075949	0.613658771
Haus3	-0.346179271	4.828390419	0.094133127	0.613658771
Msra	0.27119408	3.782954105	0.094204648	0.613658771
Chd1	-0.205368814	7.612134091	0.09432414	0.613658771
Il4ra	0.213110844	5.971009186	0.094343739	0.613658771
Gcc2	-0.216194542	6.222492255	0.094400408	0.613658771
Cox7a2l	0.185885057	7.779534362	0.09442293	0.613658771
Tbc1d10a	0.201416566	5.217634581	0.0944861	0.613678193
Npat	-0.227990036	5.493247612	0.094665338	0.614342289
Mrpl30	0.177454008	6.528376286	0.094767279	0.614342289
Usp47	-0.208867327	6.959316971	0.094987381	0.614342289
Tex264	0.220383583	4.989929955	0.095165768	0.614342289
Ndufa6	0.227407212	5.680405472	0.095215074	0.614342289
Gpi1	0.210791511	9.105269387	0.095280593	0.614342289
5430405H02Rik	0.32394592	2.13278761	0.095350071	0.614342289
5730507C01Rik	0.418421401	0.459642457	0.095375124	0.614342289
Ralgds	0.265120511	2.988661272	0.095428906	0.614342289
Fam98c	0.296869336	4.643587585	0.095459185	0.614342289
Cep78	-0.271156317	3.059600026	0.09549031	0.614342289
Pex12	0.23279281	3.55980617	0.095506316	0.614342289
Zyx	0.193193255	6.698180636	0.09551363	0.614342289
Exosc5	0.274558657	4.196911523	0.095579502	0.614342289
Trim8	0.21132637	8.110973821	0.095650825	0.614342289
Ifi30	0.197331224	5.105535315	0.095655265	0.614342289
Emc10	0.222637989	6.509435087	0.09569117	0.614342289
Cd5	0.18968067	8.745998087	0.095720448	0.614342289
Pde3b	-0.208320614	7.91536719	0.095733049	0.614342289
Tmem101	0.214979591	3.859527767	0.09587667	0.614371389
Ttc14	-0.276250406	6.544451912	0.095969277	0.614371389
Akap9	-0.188654315	6.268751265	0.096079561	0.614371389
Alg13	-0.314563663	3.330097477	0.096088008	0.614371389
Rpl13a	0.181945568	11.20972173	0.096132852	0.614371389
P2ry10	-0.254712641	5.913564288	0.096142849	0.614371389
Prps1l3	-0.223622707	6.631039736	0.096159335	0.614371389
Zfp329	-0.245768659	5.37279589	0.09628989	0.61448819
H2afj	0.234512093	5.850824119	0.096308143	0.61448819
Huwe1	-0.178489809	8.830689093	0.096505486	0.61448819
Ubxn6	0.215554575	5.062235807	0.09669616	0.61448819
Gm1966	-0.2085767	8.631547217	0.096852424	0.61448819
Dis3	-0.231925341	4.855134108	0.096910911	0.61448819
Sema4c	0.339999487	1.434684221	0.096954325	0.61448819
Rp9	0.208102227	5.993698791	0.096978075	0.61448819
Tpp2	-0.210401725	7.162523849	0.097001951	0.61448819
Oasl1	0.219510622	6.421059938	0.097026256	0.61448819
Fam111a	-0.246367205	7.069023532	0.097035061	0.61448819
Fam49a	-0.210367147	6.343639703	0.097090193	0.61448819
Sh3glb2	0.226518635	5.80138675	0.097097185	0.61448819
Fnbp4	-0.169281349	7.552369122	0.097142132	0.61448819
Zfp280c	-0.226115718	4.776783564	0.097148788	0.61448819
Timm17b	0.216465029	5.247535064	0.097235273	0.61448819
Fkbp8	0.189579241	7.999236387	0.097302196	0.61448819
Zap70	0.192104954	8.869204416	0.097426195	0.61448819
Ubald1	0.272786251	5.621022179	0.097664262	0.61448819
Smdt1	0.17997092	6.685725892	0.097799317	0.61448819
Dhx36	-0.208409954	6.60874924	0.097808955	0.61448819
Zfp862-ps	0.41817683	0.294180279	0.09788732	0.61448819
Pbx2	0.173185273	6.380128997	0.097914865	0.61448819
Adprhl2	0.230787736	4.767414128	0.097948789	0.61448819
Itm2c	0.170348111	6.641225547	0.098003164	0.61448819
A230046K03Rik	-0.208973123	6.807177047	0.098039976	0.61448819
Lamp1	0.201353302	7.445014371	0.098092926	0.61448819
Gm17066	-0.375885161	4.381914216	0.098156131	0.61448819
Neil3	-0.289055443	4.300292668	0.098187844	0.61448819
Ncf1	-0.310443072	2.514838994	0.098274849	0.61448819
Crybg3	-0.278585316	2.893017818	0.098319222	0.61448819
Gpr108	0.198170823	6.070931007	0.098358402	0.61448819
Rnf149	-0.206465136	4.887636987	0.098372459	0.61448819
Esco2	-0.376608066	4.796752748	0.098407029	0.61448819
Il3ra	0.282793352	4.231590825	0.098566781	0.61448819
Thap4	0.221861634	4.588104957	0.098620991	0.61448819
Lsp1	0.17895433	9.747966206	0.098629703	0.61448819
Acp1	-0.182701076	5.698238407	0.098678472	0.61448819
Pold1	-0.1970335	6.223595345	0.098709864	0.61448819
Agfg1	-0.168466333	7.650463232	0.098718286	0.61448819
Fam208b	-0.196069993	6.480298929	0.098758462	0.61448819
Myg1	0.188624513	5.133918586	0.098777664	0.61448819
Wdr89	-0.278603998	2.579131982	0.098805826	0.61448819
Cox4i1	0.179252379	8.582755655	0.098829129	0.61448819
Hddc2	0.226729084	3.967273443	0.098927984	0.614728005
Golga4	-0.176546738	6.985470923	0.099058745	0.61501283
Hnrnpd	-0.185559991	8.273193464	0.099094447	0.61501283
Morf4l2	-0.209192306	6.232518822	0.099206063	0.615331039
Arrdc2	0.249228381	3.546807535	0.099399403	0.615428515
Rab21	-0.180805494	6.642850611	0.0994003	0.615428515
St3gal6	-0.457551175	2.551854074	0.09940284	0.615428515
Nup98	-0.170848178	6.683960974	0.099533243	0.615569556
Uckl1	0.200568314	5.680116146	0.0996005	0.615569556
Naa30	-0.253572246	6.247469951	0.099606724	0.615569556
Eme1	-0.291979783	3.874319813	0.099717203	0.615879057
Hdgfrp3	-0.303716153	2.750418847	0.099844478	0.616291853
Chpt1	-0.331921606	2.69765091	0.099970714	0.616332508
Crip1	0.200089819	7.799321858	0.099971949	0.616332508
Ddx56	0.197900979	5.15403915	0.100238552	0.617085139
Fam32a	0.175132927	6.935755081	0.100245956	0.617085139
Rnf166	0.181050109	6.028869317	0.100390033	0.617085139
Luc7l2	-0.23703295	8.500964075	0.100420422	0.617085139
Taf2	-0.172903503	6.317422155	0.100531959	0.617085139
Unc119b	0.16419073	7.955479047	0.100692764	0.617085139
Ptp4a1	-0.384769936	1.383469278	0.100745628	0.617085139
Ppp1r12c	0.205441413	6.757548578	0.100827951	0.617085139
Vsig10	0.412528911	0.739585381	0.100850248	0.617085139
Homer3	0.394906683	0.709291332	0.100859894	0.617085139
C1galt1	-0.201198448	6.041432453	0.100892967	0.617085139
Bub1b	-0.247712927	6.362037598	0.100912585	0.617085139
Nfil3	0.321949908	3.028381243	0.100979732	0.617085139
Rps27	0.348819363	2.316925009	0.100988761	0.617085139
Dclk2	-0.256627902	3.612577324	0.101083991	0.617085139
Mfsd3	0.327922257	2.167956513	0.101143509	0.617085139
Ccna2	-0.262929906	6.806624122	0.101166757	0.617085139
Lman1	-0.179689814	5.503163498	0.101218785	0.617085139
Mier1	-0.271679897	7.402333055	0.101413557	0.617085139
Ucp2	0.236170119	9.85943264	0.101502333	0.617085139
Uqcrh	0.171627864	7.387612134	0.101541018	0.617085139
Rabl3	-0.269037088	3.674017344	0.101588805	0.617085139
2510002D24Rik	0.269503387	4.445097902	0.101654124	0.617085139
Mrps33	0.18835882	5.62868085	0.101718404	0.617085139
Mfng	0.183869601	6.114336065	0.101752319	0.617085139
Bscl2	0.257977482	6.119078425	0.101819572	0.617085139
Cep128	-0.245963053	4.205844202	0.10186364	0.617085139
Atp8a1	-0.1731803	6.147520364	0.101905126	0.617085139
Syne1	-0.192508409	6.922046383	0.102029549	0.617085139
Parpbp	-0.264140299	4.091991681	0.102076557	0.617085139
Cd320	0.331553825	2.571266111	0.102165455	0.617085139
Mrpl36	0.231182883	5.234285354	0.102191804	0.617085139
Kat6a	-0.181924262	8.43060816	0.102459318	0.617085139
Ahi1	-0.211558784	4.173244986	0.102493614	0.617085139
Rps8	0.177764153	10.32782159	0.102508439	0.617085139
Btbd11	0.171033691	5.991186026	0.102519017	0.617085139
Pxmp4	0.237095155	4.627175	0.102545496	0.617085139
Psmd8	0.209770799	7.443918464	0.102557738	0.617085139
Cbx8	0.247220478	3.70469081	0.102666785	0.617085139
Polr3f	-0.199287552	5.230054808	0.102790027	0.617085139
Ptpn6	0.169592578	8.933762956	0.102895904	0.617085139
9030624J02Rik	0.17737347	6.16546422	0.102957448	0.617085139
Frmd4a	-0.406591184	1.07026399	0.103015152	0.617085139
E2f1	-0.215479699	4.792822471	0.1030679	0.617085139
Rel	-0.230527341	4.869809976	0.103073024	0.617085139
Ears2	0.248064514	3.054267749	0.103086389	0.617085139
Lsm4	0.18563704	6.950042991	0.10323194	0.617085139
Ift80	-0.195413503	5.926501719	0.103280182	0.617085139
Mrps21	0.174959143	6.122961379	0.103304644	0.617085139
Nin	-0.180843558	6.89911707	0.103424794	0.617085139
1110034G24Rik	0.243182725	3.345681285	0.103441206	0.617085139
Otud5	0.221228586	7.765499232	0.103513793	0.617085139
Rftn1	0.183830217	5.662242373	0.103520175	0.617085139
Prpf4b	-0.210811297	7.425629089	0.103536182	0.617085139
Nod1	0.211904655	4.704899745	0.103577885	0.617085139
Zkscan8	-0.23079678	4.520572248	0.103640165	0.617085139
Myef2	-0.226382338	5.448768594	0.103670062	0.617085139
Cpsf2	-0.189725493	6.75404734	0.10367032	0.617085139
Nme3	0.20276611	4.536329009	0.10370751	0.617085139
4931406C07Rik	-0.267131695	2.671745456	0.10372501	0.617085139
Mettl22	0.328552126	2.544169332	0.103832581	0.617364915
Trappc4	0.18653315	5.461288136	0.103934784	0.617612467
Rpp21	0.264829258	4.41511448	0.104169558	0.618647046
Mdfic	-0.227042585	5.433304296	0.104264663	0.61885144
Alkbh8	-0.247187897	4.682900955	0.104431246	0.619479588
Srebf1	0.243909109	6.825776378	0.104520713	0.619649832
0610010F05Rik	-0.348867845	3.143753886	0.104746698	0.620523444
Tom1	0.243786097	3.935111577	0.10486779	0.620523444
Dtx2	0.214382599	4.823562505	0.104896304	0.620523444
Mrpl23	0.233869459	4.314912674	0.104911485	0.620523444
8030462N17Rik	-0.191718102	5.082847617	0.105047778	0.620848182
Samd9l	-0.213497136	8.924792675	0.105104426	0.620848182
Fpgs	0.310137948	2.190799597	0.105298298	0.620848182
Rrp15	0.196791472	4.527085804	0.10538134	0.620848182
Midn	0.218221994	7.475795467	0.105424826	0.620848182
Rhog	0.224448179	7.536872036	0.105464546	0.620848182
Sirt2	0.199725377	7.091976621	0.105546041	0.620848182
Rcan3	-0.217685719	5.084329875	0.105616499	0.620848182
Ythdf3	-0.19573137	7.136669736	0.105623878	0.620848182
Mcat	0.233776972	4.369033444	0.105663133	0.620848182
Gemin7	0.230977994	4.558783182	0.105684432	0.620848182
Cep76	-0.238342124	4.104759763	0.105697013	0.620848182
Acsf2	0.23789586	4.560595902	0.105801376	0.621103416
Arc	0.250669815	3.236860916	0.106018822	0.622021821
Tug1	-0.205667683	7.595332415	0.106439448	0.623594936
Kif14	-0.27742473	4.81003267	0.106526791	0.623594936
Ahctf1	-0.179717864	6.611752659	0.106607934	0.623594936
Gbp7	-0.183030336	8.027932741	0.106613892	0.623594936
Qtrt1	0.26105723	3.948011914	0.106628797	0.623594936
Actr2	-0.234501689	10.2736996	0.106653876	0.623594936
Tssc1	0.167941353	5.974263163	0.106760053	0.62385803
Clock	-0.217100197	4.670563062	0.106894328	0.624284916
Rsbn1	-0.240330616	6.001332651	0.107464041	0.627252903
Psmf1	0.187833236	5.531702163	0.107664837	0.627562915
Fdx1l	0.354534978	2.37668934	0.107672162	0.627562915
Laptm4b	-0.357551892	1.412713606	0.107719852	0.627562915
Rgs2	0.281506724	3.024993985	0.107763329	0.627562915
Ajuba	-0.415078455	0.628316496	0.107866009	0.627593718
Tbc1d12	-0.427744428	0.51293811	0.10789515	0.627593718
Hsf1	0.22172469	5.592538294	0.108002894	0.627593718
Rela	0.215986916	6.64184388	0.108014806	0.627593718
Poln	-0.476901657	0.088885661	0.108090548	0.627676152
Ftx	-0.301738767	3.022373212	0.108480988	0.629191628
Gcfc2	-0.234360547	3.884377573	0.10853615	0.629191628
Uso1	-0.167387646	6.696753276	0.108536636	0.629191628
Zscan2	0.225246496	3.954510901	0.108642189	0.629263699
Tec	-0.253855933	3.233340808	0.10867895	0.629263699
Mrpl22	0.19583078	4.295002536	0.1087998	0.629263699
Tipin	-0.297387542	5.441911337	0.108846153	0.629263699
Klhl36	0.239748076	3.971636867	0.108857621	0.629263699
Ylpm1	-0.15806975	6.659586835	0.108977886	0.629601986
Gna15	0.270242906	4.701984159	0.109131581	0.630130212
Il18r1	-0.210315476	5.803007392	0.109192908	0.630130212
Vill	0.383143579	1.864891477	0.109405539	0.63095425
Tfpi	0.370154641	1.188029496	0.109680637	0.63095425
Srsf1	-0.239556149	8.902760135	0.109701595	0.63095425
Mtrr	-0.20065875	4.592488544	0.109823749	0.63095425
Insl6	-0.355112211	1.486295947	0.109830711	0.63095425
Nagpa	0.243227837	5.037341051	0.109864233	0.63095425
Gm14322	-0.464471116	0.133774088	0.109909784	0.63095425
Hn1l	-0.193355354	5.47237434	0.109946394	0.63095425
Dnmt1	-0.201866016	8.76299906	0.110023793	0.63095425
Cdc45	-0.232041781	5.222741365	0.110024863	0.63095425
Mtx3	-0.240850326	3.498508971	0.110051859	0.63095425
Atad1	-0.211835966	6.934358021	0.110128698	0.63095425
Acd	0.239136137	5.221760669	0.110155054	0.63095425
Polr2l	0.197857001	5.011947737	0.110214456	0.63095425
Dnajc10	-0.184332715	6.280123151	0.11033936	0.63095425
E130012A19Rik	0.290122574	2.54338314	0.110354411	0.63095425
Pus1	0.190468916	5.390885178	0.110414819	0.63095425
Zbtb34	-0.212091962	3.95088714	0.110472478	0.63095425
Gltscr2	0.192654571	8.820914031	0.110593678	0.63095425
Dnajb11	-0.189692312	7.631295017	0.110604946	0.63095425
Pkp3	0.188712146	7.54223536	0.110635108	0.63095425
Ccdc86	0.294015885	3.808849758	0.110720195	0.631068102
Tstd1	0.311217987	1.718689058	0.110869303	0.631068102
Trappc13	-0.218496051	5.455968142	0.110883863	0.631068102
Ubl5	0.175828395	7.213650558	0.110936187	0.631068102
Ptpn7	0.160465113	8.80907164	0.11096451	0.631068102
Ascc3	-0.194577977	6.879486748	0.11112824	0.63130341
3110043O21Rik	-0.333824827	2.022470721	0.111129707	0.63130341
Nob1	0.203193237	5.356605218	0.111243238	0.631596489
Armc5	0.235460632	5.171885797	0.111406702	0.632080827
Txnrd1	-0.164071591	7.205259024	0.111471209	0.632080827
Mrpl54	0.272526855	4.764868673	0.111514505	0.632080827
Hist1h2be	-0.531548235	0.055759933	0.111666438	0.632281357
Tex9	-0.26123849	3.270466225	0.111673897	0.632281357
H2-T22	-0.240093082	5.275065026	0.111746365	0.632340555
2300009A05Rik	0.369749275	2.081576931	0.11202521	0.632771271
Maf1	0.172684566	6.733061551	0.112103745	0.632771271
Galnt7	-0.205483331	6.360560517	0.11212947	0.632771271
Acaa2	0.182868246	5.283480504	0.112161959	0.632771271
Ss18l1	-0.349650566	2.49946174	0.112166908	0.632771271
Cyp4v3	-0.35604925	2.000402666	0.112194808	0.632771271
Zfp653	0.295033144	3.601279704	0.112370441	0.633411493
Rbfa	0.212918097	5.148355201	0.112495821	0.633593176
Krit1	-0.203844374	6.426307089	0.11258885	0.633593176
Rpl19	0.161694376	10.30925803	0.112649768	0.633593176
Pstpip1	0.183806629	7.786700893	0.112712397	0.633593176
Stx18	0.193194828	4.294554172	0.112713349	0.633593176
Cenpp	-0.326927188	2.712526831	0.112777461	0.633604281
Lrp5	0.362508395	1.858886562	0.112913834	0.633773904
Mmp9	0.650982084	0.368787823	0.112931959	0.633773904
Pddc1	0.204123407	5.176383857	0.113000284	0.633808524
St8sia1	-0.18285302	6.377680185	0.113087906	0.633951281
Hps3	-0.202217315	5.069408756	0.113162255	0.634019515
Ruvbl2	0.202498587	5.505182657	0.113292952	0.634374328
Rdx	-0.206139825	7.356336144	0.113359812	0.634374328
Pogk	-0.317559758	4.801814546	0.113446082	0.634374328
Tmem126b	-0.206971556	4.252867899	0.113474431	0.634374328
Dpm3	0.239769803	3.864964453	0.113598259	0.634622016
Tmed8	-0.195224382	5.631252333	0.113643209	0.634622016
Nipa2	-0.230247573	5.921668337	0.113813762	0.635226566
Hspa4l	-0.211931026	6.599254542	0.114040504	0.635425253
Tmpo	-0.230408308	8.191480111	0.114041713	0.635425253
Cul2	-0.22121647	5.334435023	0.114065876	0.635425253
Dhx34	0.20509247	5.298219214	0.114125595	0.635425253
Taf1b	-0.182233043	6.000939577	0.114189817	0.635425253
1190007I07Rik	0.29804683	2.63809993	0.114223251	0.635425253
Gnb2	0.194792967	8.092126724	0.11431129	0.63556828
Eif1	0.160757233	8.386981734	0.114431019	0.635887249
Strn	-0.17837419	6.128721885	0.114677442	0.636673752
Mtpn	-0.230089811	8.341921452	0.114752269	0.636673752
Sars2	0.21779736	4.539163085	0.114909029	0.636673752
Tonsl	-0.196920341	5.101975308	0.115139291	0.636673752
Snrpe	0.166292805	6.739577594	0.115165154	0.636673752
BC004004	0.192211597	5.286883471	0.115210724	0.636673752
Rpp30	-0.258782927	3.36101829	0.115248036	0.636673752
Prpf40a	-0.202135871	7.465915851	0.115291691	0.636673752
Rab24	0.193559835	5.750084788	0.115305552	0.636673752
Tmx3	-0.296840016	6.708356221	0.115317482	0.636673752
Dnajc3	-0.179735431	8.007692216	0.115347898	0.636673752
Cmah	-0.189823906	7.310380039	0.1153496	0.636673752
Fam20b	-0.174691136	5.909462129	0.11538424	0.636673752
Kif4	-0.27197413	5.820415682	0.115548723	0.636940611
Bst2	0.174662596	8.279188836	0.11558491	0.636940611
Vps54	-0.206096449	7.495631007	0.115719778	0.636940611
D5Ertd579e	-0.194979299	5.71254622	0.115732222	0.636940611
Tcea2	0.286110109	2.164008318	0.115767045	0.636940611
Rsbn1l	-0.21073849	6.948189698	0.115846445	0.636940611
Sertad2	-0.183174733	5.447810071	0.116032834	0.636940611
Foxn3	-0.187580423	5.550288351	0.116062671	0.636940611
Sypl	-0.193659138	6.337680006	0.116206129	0.636940611
Gk5	-0.464713074	0.288862094	0.11623301	0.636940611
Jtb	0.210754853	5.396611319	0.116243398	0.636940611
Isg15	0.175156334	8.743557189	0.11625184	0.636940611
Atp5j2	0.203810712	7.408340232	0.116304228	0.636940611
Naa50	-0.234831757	7.252062079	0.116324882	0.636940611
Phf21b	0.354023577	0.891764939	0.116369556	0.636940611
Ncln	0.209924904	6.199440193	0.11659997	0.63728996
Adss	-0.198086008	7.31564886	0.116692733	0.63728996
Fbxo5	-0.251222593	5.471026282	0.116724824	0.63728996
Nhsl2	-0.413996847	0.797094362	0.116744458	0.63728996
B230217O12Rik	0.381780899	1.330466759	0.116784175	0.63728996
Yipf3	0.211256315	6.782894869	0.11686776	0.63728996
Tbck	-0.199558739	4.378065706	0.116870867	0.63728996
Nhej1	-0.333183018	1.464461544	0.116984352	0.637567845
Ubxn2a	-0.213480696	5.338681526	0.117149575	0.637992467
Mob3a	0.177644612	7.768649455	0.117257577	0.637992467
Prkcb	-0.160400089	8.115204304	0.117296335	0.637992467
Usp24	-0.173201324	7.398086416	0.117312531	0.637992467
Ccdc92	0.271947094	4.093427822	0.117443753	0.638050819
Wsb1	-0.196904198	6.338995479	0.117457887	0.638050819
Senp7	-0.192498464	6.138110871	0.117624273	0.638050819
Rbm4	0.232017971	3.79633256	0.117882334	0.638050819
Psmg4	0.233399463	3.324994943	0.118018566	0.638050819
Pdxdc1	-0.17804918	5.361407178	0.118156292	0.638050819
Ssna1	0.187964776	5.875613669	0.118273435	0.638050819
Bspry	-0.284283236	2.736786048	0.11832565	0.638050819
Ing5	-0.169666392	5.636630529	0.118352151	0.638050819
Acsl4	-0.224668318	6.208176707	0.118359627	0.638050819
Tmem42	0.237070031	3.536461377	0.118387742	0.638050819
Pum2	-0.189760808	8.439887976	0.118470449	0.638050819
Usp28	-0.197454583	4.683499237	0.118504027	0.638050819
Ap5z1	0.222772951	5.442233841	0.118510652	0.638050819
Ptprcap	0.169490122	8.71184044	0.118531286	0.638050819
Zfand3	0.170081691	6.000211803	0.118569356	0.638050819
Ssr3	-0.19837147	7.855412096	0.118603385	0.638050819
Cenpc1	-0.225160388	5.268277334	0.118794325	0.638050819
Jade3	-0.269884028	3.454095371	0.118820872	0.638050819
Gpt	0.306803679	2.181542378	0.118887682	0.638050819
Ergic3	0.169719945	6.385246672	0.118897382	0.638050819
Fiz1	0.211101538	5.252521356	0.118938421	0.638050819
Sra1	0.164018313	5.899859207	0.119005575	0.638050819
Dusp2	0.225917056	7.754851796	0.119035489	0.638050819
Umps	-0.191998281	5.477064196	0.119050299	0.638050819
Apmap	-0.19472813	5.109670607	0.119106996	0.638050819
Cnot7	-0.234910897	6.047657318	0.119139154	0.638050819
Ephx1	0.178523607	7.895677293	0.119140688	0.638050819
Ak4	0.421379718	-0.008219602	0.119189539	0.638050819
Zfp518a	-0.240189705	5.427764553	0.119272253	0.638050819
Tsr3	0.189481701	4.846030536	0.119295809	0.638050819
Fancg	-0.192999425	4.560308714	0.119325577	0.638050819
G6pdx	0.164991112	6.150368879	0.119414287	0.638190507
Irf2bpl	0.20589211	6.13542151	0.119601329	0.638855291
Ift46	0.201677574	4.485012241	0.119730331	0.63920952
Cse1l	-0.193009487	6.527531042	0.119799621	0.63924476
Pus10	-0.223274386	4.91766116	0.120039991	0.64019236
Aldh4a1	0.219128614	4.74207571	0.120197864	0.640699227
Prrg2	0.382335272	0.615817726	0.120299847	0.640907804
Rpl7	0.156731363	10.34870678	0.12043512	0.641010853
Nr4a3	0.281630871	2.075685852	0.120444915	0.641010853
Ldhb	0.250427952	2.829949379	0.120599495	0.641498721
Rtfdc1	0.165685775	6.864483793	0.120884311	0.641982629
Tmem176b	0.447374282	0.232362982	0.120884316	0.641982629
Plxna1	0.369418725	1.61309233	0.120917622	0.641982629
Tmem30a	-0.235868855	7.854414914	0.1209423	0.641982629
Espl1	-0.212068034	5.568595663	0.121116083	0.642015662
Snrpb	0.190666669	7.421649951	0.121134429	0.642015662
Pced1b	0.193234109	6.39254386	0.121137407	0.642015662
Tm9sf2	-0.182144243	7.138240585	0.121350651	0.642528447
Rcl1	0.205051241	4.572522	0.121395072	0.642528447
Spdl1	-0.260722592	4.186185107	0.121423195	0.642528447
Batf	0.16421885	6.966706683	0.121653577	0.643218271
Mapk1ip1l	-0.169846075	7.691888353	0.121679714	0.643218271
D3Ertd751e	-0.319245296	2.954668053	0.12188665	0.643978325
Phf20	-0.182326916	4.853484364	0.122266278	0.644937781
Pcgf2	0.363884826	1.329978436	0.122293852	0.644937781
Apba3	0.296013736	4.74005377	0.122412171	0.644937781
Melk	-0.256319017	3.942701398	0.122480703	0.644937781
Snora81	-0.362760373	1.069291276	0.122519318	0.644937781
Scaf11	-0.171336628	7.66956776	0.122908141	0.644937781
Exoc5	-0.220263197	6.417645099	0.122911892	0.644937781
Tstd3	-0.183870197	5.195491953	0.12303597	0.644937781
Pak6	0.30044623	2.659622149	0.123048899	0.644937781
Atp5g2	0.181148118	7.351053196	0.1231883	0.644937781
Map2k2	0.232914737	6.42152826	0.123310254	0.644937781
Ngrn	0.186385559	4.436325874	0.12332123	0.644937781
Ddit4	0.234374042	9.308939571	0.123332156	0.644937781
Snrpd2	0.181429276	6.517619339	0.123364971	0.644937781
Chaf1b	-0.195521618	4.996198423	0.123389888	0.644937781
Ctps	-0.197787354	4.891681676	0.123439925	0.644937781
Wdr25	0.289381684	2.234099793	0.1234734	0.644937781
Gbp10	-0.231220738	5.425295267	0.123508131	0.644937781
Sppl2a	-0.178726837	6.976045346	0.123726063	0.644937781
Gas2l1	0.294816334	1.643770141	0.123743062	0.644937781
Trmt61a	0.240506268	3.346581137	0.123763928	0.644937781
Map10	0.424350159	0.170268249	0.123856715	0.644937781
Inf2	-0.194204197	4.932580334	0.123918683	0.644937781
Agpat1	0.214231884	6.118778112	0.124013317	0.644937781
Csnk1g1	-0.179293972	6.482789582	0.124066958	0.644937781
Ap1ar	-0.156286563	6.227025925	0.124087002	0.644937781
Cd24a	-0.427495149	0.498059974	0.12410325	0.644937781
1700056E22Rik	0.431399663	0.113149558	0.124140902	0.644937781
Tor2a	0.228244586	5.878290789	0.12422472	0.644937781
Gpx1	0.187376191	7.28431572	0.124313217	0.644937781
Mzt1	-0.258360338	5.565767506	0.124334348	0.644937781
1500011K16Rik	0.322443699	1.997048992	0.124340791	0.644937781
Man2b2	0.238127979	6.348297852	0.124351034	0.644937781
Tmem115	0.224683462	4.809995067	0.124352118	0.644937781
Ext2	0.200390133	5.693894712	0.124406833	0.644937781
Smchd1	-0.200211104	9.23926133	0.124492615	0.644937781
Phf20l1	-0.214898383	7.647209298	0.124631274	0.644937781
Rtp4	0.155182354	7.575692878	0.124644864	0.644937781
Itga2	-0.394102031	2.238558332	0.124727008	0.644937781
Sdf2l1	-0.251553259	5.55943094	0.124876992	0.644937781
Sh2b3	0.273622319	5.23463203	0.124887789	0.644937781
